Student_ID,Student_Name,Department,Phone_Number,Admission_Year
101,Arun Kumar,Computer Science,9876543210.0,2024
102,Priya Sharma,Computer Science,9876543211.0,2024
103,Rahul Verma,Electronics,9876543212.0,2024
104,Sneha Patil,Mechanical,9876543213.0,2024
105,Deepak Joshi,Electronics,Not Available,2024
106,Anita Desai,Computer Science,9876543215.0,2024
107,Kiran Rao,Mechanical,Not Available,2024
108,Vijay Singh,Civil Engineering,9876543217.0,2024
109,Meena Iyer,Civil Engineering,9876543218.0,2024
110,Suresh Nair,Electronics,Not Available,2024
