Student_ID,Student_Name,Department,Phone_Number,Admission_Year
101,  Arun Kumar  ,computer science,9876543210,2024
102,Priya Sharma,  COMPUTER SCIENCE  ,9876543211,2024
103,Rahul Verma,Electronics,9876543212,2024
101,  Arun Kumar  ,computer science,9876543210,2024
104,Sneha Patil,mechanical,9876543213,2024
105,Deepak Joshi,ELECTRONICS,,2024
106,Anita Desai,Computer Science,9876543215,2024
107,Kiran Rao,  mechanical  ,,2024
108,Vijay Singh,civil engineering,9876543217,2024
103,Rahul Verma,Electronics,9876543212,2024
109,Meena Iyer,CIVIL ENGINEERING,9876543218,2024
110,Suresh Nair,electronics,,2024
